id,title,claim,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,support,selected_sentence_list
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"The term furry describes a diverse community of fans, artists, writers, gamers, and role players.",Furscience,2022,1,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,Most furries create for themselves an anthropomorphized animal character (fursona) with whom they identify and can function as an avatar within the community.,Furscience,2022,1,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"Some furries wear elaborate costumes (called fursuits) or paraphernalia such as animal ears or tails, or represent themselves as anthropomorphic animals in online communities such as Second Life.",Furscience,2022,1,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"Furry fandom is an inclusive term that describes the community of furries that span online, local, and international settings.",Furscience,2022,0,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"The furry fandom is global, with hundreds of local groups existing worldwide and dozens of conventions held annually.",Furscience,2022,0,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"A small subset of furries (~10%), called “therians,” believe they are spiritually connected to animals, are less than (or more than) 100% human, are an animal trapped in a human body, or were an animal in a former life.",Furscience,2022,0,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"Otherkin, like therians, feel spiritually connected to non-human species, but the species extend to mystical species, e.g., dragons, griffons, and minotaurs.",Furscience,2022,0,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,More than 75% of furries are under the age of 25.,Furscience,2022,1,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,"Approximately 84% of furries identify as male, 13% female, and 2.5% are transgender.",Furscience,2022,0,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What’s a Furry?,Furscience,Furries are predominantly (83.2%) white.,Furscience,2022,0,"[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
